slug,name,discord,twitter,telegram,github,docs
trezor-safe-5,Trezor Safe 5,,,,,
trezor-safe-7,Trezor Safe 7,,,,,
trezor-shamir-backup,Trezor Shamir Backup,,,,,
trust-wallet,Trust Wallet,,,,,
unchained-capital,Unchained Capital,,,,,
uniswap,Uniswap,,,,,
uniswap-wallet,Uniswap Wallet,,,,,
unstoppable-wallet,Unstoppable Wallet,,,,,
upbit,Upbit,,,,,
vault12-guard,Vault12 Guard,,,,,
velodrome,Velodrome,,,,,
venus-protocol,Venus Protocol,,,,,
wasabi-wallet,Wasabi Wallet,,,,,
wirex,Wirex,,,,,
wirex-card,Wirex Card,,,,,
wormhole,Wormhole,,,,,
xapo-bank,Xapo Bank,,,,,
yearn-finance,Yearn Finance,,,,,
youhodler,YouHodler,,,,,
yubikey-5,YubiKey 5,,,,,
zapper,Zapper,,,,,
zengo,ZenGo,,,,,
zerion,Zerion,,,,,
zerodev,ZeroDev,,,,,
zeus-wallet,Zeus Wallet,,,,,
